Description,country,commodity,fac_name,latitude,longitude,capacity,Ticker
Preston Resources Ltd.,Australia,Cobalt,Bulong open pit nickel-cobalt mine,-30.69,121.82,200,#N/A
Norilsk Nickel  Mining and Metallurgical,Australia,Cobalt,Cawse open pit nickel-cobalt mine,-30.53,121.24,100,#N/A
BHP Billiton Ltd.,Australia,Cobalt,Yabulu nickel-cobalt refinery,-19.2,146.61,3,BBL
Minara Resources Ltd.,Australia,Cobalt,Murrin Murrin open pit nickel-cobalt mine,-28.76,121.92,2,#N/A
Xstrata plc,Australia,Copper,Townsville copper refinery,-19.33,146.89,300,#N/A
Xstrata plc,Australia,Copper,Mount Isa copper smelter,-20.73,139.49,250,#N/A
Olympic Dam Operations Pty. Ltd.,Australia,Copper,Olympic Dam underground copper-silver-gold-uranium mine,-30.46,136.88,235,#N/A
Olympic Dam Operations Pty. Ltd.,Australia,Copper,Olympic Dam copper refinery,-30.46,136.88,235,#N/A
Xstrata plc,Australia,Copper,"Mount Isa underground copper-lead-zinc-silver mine (also includes Enterprise, George Fisher and Hilton  mines)",-20.73,139.49,190,#N/A
Furukawa Co. Ltd.,Australia,Copper,Port Kembla copper refinery,-34.48,150.91,120,#N/A
Furukawa Co. Ltd.,Australia,Copper,Port Kembla copper smelter,-34.48,150.91,120,#N/A
Xstrata plc,Australia,Copper,Ernest Henry open pit copper-gold mine,-20.43,140.72,115,#N/A
Rio Tinto Ltd.,Australia,Copper,Northparkes open pit/underground copper-gold mine,-32.91,148.05,90,RIO
Barminco Ply Ltd.,Australia,Copper,Eloise underground copper mine,-20.95,140.98,70,#N/A
Olympic Dam Operations Pty. Ltd.,Australia,Copper,Olympic Dam copper smelter,-30.46,136.88,70,#N/A
Aditya Birla Minerals Ltd.,Australia,Copper,Mount Gordon open pit copper (SW-EX) mine (Mammoth),-19.7,139.36,50,#N/A
Barrick  Gold Corp.,Australia,Copper,Osborne underground copper-gold mine,-21.86,140.92,50,GOLD
Sterlite Industries (India) Ltd.,Australia,Copper,Mount Lyell underground copper-gold mine,-42.06,145.59,35,#N/A
Glencore Australia Pty. Ltd.,Australia,Copper,Cobar underground copper mine,-31.41,145.8,30,#N/A
Newcrest Mining Ltd.,Australia,Copper,Ridgeway underground gold-copper mine,-33.34,149.1,30,#N/A
Aditya Birla Minerals Ltd.,Australia,Copper,Nifty open pit copper (SX-EX)  mine,-21.66,121.57,25,#N/A
Newcrest Mining Ltd.,Australia,Copper,Cadia Hill open pit gold-copper mine,-33.47,149,25,#N/A
Oxiana Ltd.,Australia,Copper,Golden Grove underground zinc-copper mine (Gossan Hill),-28.74,116.94,20,#N/A
Barrick  Gold Corp.,Australia,Copper,Selwyn underground copper-gold mine,-21.54,140.5,17,GOLD
Matrix Metals Ltd.,Australia,Copper,Leichardt copper mine,-19.99,139.92,10,#N/A
GoldCorp Inc,Australia,Copper,Peak underground gold-zinc-lead-copper-silver underground mine,-31.56,145.87,3,#N/A
OZ Minerals Ltd.,Australia,Copper,Rosebery underground zinc-lead-silver-copper-gold mine,-41.77,145.55,2,#N/A
Minara Resources Ltd.,Australia,Nickel,Murrin Murrin open pit nickel-cobalt mine,-28.76,121.92,100,#N/A
BHP Billiton Ltd.,Australia,Nickel,Kalgoorlie nickel smelter,-30.77,121.51,100,BBL
BHP Billiton Ltd.,Australia,Nickel,Yabulu nickel-cobalt refinery,-19.2,146.61,72,BBL
BHP Billiton Ltd.,Australia,Nickel,Kwinana nickel refinery,-32.25,115.77,67,BBL
Minara Resources Ltd.,Australia,Nickel,Murrin Murrin nickel refinery,-28.76,121.92,45,#N/A
BHP Billiton Ltd.,Australia,Nickel,Leinster open pit/underground nickel mines,-27.79,120.7,44,BBL
BHP Billiton,Australia,Nickel,Mount Keith open pit nickel mine,-27.23,120.59,40,BBL
BHP Billiton Ltd.,Australia,Nickel,Kambalda underground nickel mines,-31.19,121.67,35,BBL
Jubilee Mines NL,Australia,Nickel,Cosmos open pit nickel mine,-27.59,120.58,13,#N/A
Norilsk Nickel Mining and Metallurgical Co.,Australia,Nickel,"Lake Johnson underground nickel mine (includes Maggie Hays, Maggie Hays Lake and Emily Ann)",-32.23,120.5,12,NLISY
Norilsk Nickel Mining and Metallurgical Co.,Australia,Nickel,Black Swan underground nickel mine (includes Silver Swan),-31.99,141.42,10,NLISY
Mincor Resources NL,Australia,Nickel,Mitel underground nickel mine (includes Redross and Mariners),-31.74,121.74,10,#N/A
Norilsk Nickel Mining and Metallurgical Co.,Australia,Nickel,Cawse open pit nickel-cobalt mine,-30.53,121.24,9,NLISY
Fox Resources Ltd.,Australia,Nickel,Radio Hill underground nickel-cobalt mine,-20.98,116.86,4,#N/A
Barapukuria Coal Mining Co. Ltd.,Bangladesh,Coal,Mine at Barapukuria,24.3,88.97,1000,#N/A
No. 3 Mining Enterprise,Burma,Coal,Kalewa coal mine,23.2,94.3,13000,#N/A
Mining Enterprise No.1,Burma,Copper,Monywa Copper Project - the Monywa Refinery,22.12,95.04,40000,#N/A
Mining Enterprise No.1,Burma,Copper,Monywa Copper Project - the S&K Mine,22.12,95.04,40000,#N/A
Yichuan Yugang Longquan Aluminum Co.,China,Aluminum,Plant at Yichuan,34.42,112.42,600,#N/A
Qingtongxia Aluminum Plant,China,Aluminum,Plant at Qingtongxia,37.98,105.93,560,#N/A
Qinghai Aluminum Smelter,China,Aluminum,Plant at Xining,36.67,101.67,560,#N/A
Yunnan Aluminum Plant,China,Aluminum,Plant at Kunming,25.01,102.62,500,#N/A
Jiaozuo Wanfang Aluminum Co. Ltd.,China,Aluminum,Plant at Jiaozuo,35.24,113.17,420,#N/A
Guizhou Aluminum Plant,China,Aluminum,Plant at Guiyang,26.65,106.68,400,#N/A
Huaze Aluminum and Power Co. Ltd.,China,Aluminum,Plant at Hejin,35.62,110.65,400,#N/A
Henan Huanghe Mianchi Aluminum Plant,China,Aluminum,Plant at Mianchi,34.73,111.91,400,#N/A
Pingguo Aluminum Co.,China,Aluminum,Plant at Pingguo,23.34,107.5,380,#N/A
Shandong Chiping Xinfa Aluminum and Power Group,China,Aluminum,Plant at Chiping,36.6,116.21,360,#N/A
