Description,country,commodity,fac_name,latitude,longitude,capacity,symbol,Company_Type,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,exchange,date
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,60.48,60.58,60.0,60.53,550770.0,60.58,60.0,60.53,60.48,550770.0,1.0,XNYS,2020-12-15
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,60.15,60.27,58.7,59.23,669800.0,60.27,58.7,59.23,60.15,669800.0,1.0,XNYS,2020-12-14
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,58.74,59.87,58.71,59.76,536667.0,59.87,58.71,59.76,58.74,536667.0,1.0,XNYS,2020-12-11
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,59.22,59.89,58.88,59.17,1050368.0,59.89,58.88,59.17,59.22,1050368.0,1.0,XNYS,2020-12-10
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,60.55,60.79,58.66,59.48,1030998.0,60.79,58.66,59.48,60.55,1030998.0,1.0,XNYS,2020-12-09
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,58.9,60.74,58.9,60.31,1033884.0,60.74,58.9,60.31,58.9,1033884.0,1.0,XNYS,2020-12-08
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,60.69,60.83,58.94,59.26,793950.0,60.83,58.94,59.26,60.69,793950.0,1.0,XNYS,2020-12-07
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,60.72,61.34,60.69,61.02,877646.0,61.34,60.69,61.02,60.72,877646.0,1.0,XNYS,2020-12-04
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,60.71,61.19,60.084,60.31,1061334.0,61.19,60.084,60.31,60.71,1061334.0,1.0,XNYS,2020-12-03
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,60.2,60.74,59.64,60.2,1181309.0,60.74,59.64,60.2,60.2,1181309.0,1.0,XNYS,2020-12-02
