Description,country,commodity,fac_name,latitude,longitude,capacity,symbol,Company_Type,Volume,Close,Date
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,151800.0,16.87,2021-01-28
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,134000.0,16.1,2021-01-27
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,262000.0,17.3,2021-01-26
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,91900.0,17.45,2021-01-25
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,110900.0,18.152,2021-01-22
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,93200.0,18.5,2021-01-21
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,119000.0,18.46,2021-01-20
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,103500.0,18.058,2021-01-19
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,169700.0,18.16,2021-01-15
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,138200.0,19.38,2021-01-14
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,107200.0,18.73,2021-01-13
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,109700.0,18.785,2021-01-12
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,172400.0,18.74,2021-01-11
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,153300.0,19.39,2021-01-08
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,121300.0,19.28,2021-01-07
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,165900.0,18.79,2021-01-06
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,780600.0,17.86,2021-01-05
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,302900.0,17.44,2021-01-04
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,81700.0,16.8,2020-12-31
